provider,team_id_source,team_id_master,team,club,opponent,opponent_id_master,age_group,gender,state,date,home_away,gf,ga,result,competition,venue,city,source_url,scraped_at
gotsport,568218.0,453e7cd20b14,Carolina United Soccer Association,,IBXFC Waves 2016 (CSC),641513,U10,M,NC,2025-10-11,A,8.0,1.0,W,Williamsburg Columbus Day Invitational,Blayton ES,,https://rankings.gotsport.com/teams/568218.0/game-history,2025-10-16T22:30:44.274435
gotsport,568218.0,453e7cd20b14,Carolina United Soccer Association,,TSJFC 2016B South Black,512826,U10,M,NC,2025-10-11,A,6.0,0.0,W,Williamsburg Columbus Day Invitational,Blayton ES,,https://rankings.gotsport.com/teams/568218.0/game-history,2025-10-16T22:30:44.274448
gotsport,568218.0,453e7cd20b14,Carolina United Soccer Association,,2016 Va Legacy SC Williamsburg Wizards,624285,U10,M,NC,2025-08-31,H,1.0,3.0,L,Virginia Legacy Tournaments,Warhill,,https://rankings.gotsport.com/teams/568218.0/game-history,2025-10-16T22:30:44.274459
gotsport,568218.0,453e7cd20b14,Carolina United Soccer Association,,FC Richmond 2016 Magic Futures South,518380,U10,M,NC,2025-08-30,A,1.0,2.0,L,Virginia Legacy Tournaments,Warhill,,https://rankings.gotsport.com/teams/568218.0/game-history,2025-10-16T22:30:44.274468
gotsport,568218.0,453e7cd20b14,Carolina United Soccer Association,,Golden Ball Soccer Academy 16B (U9)Black TASL,581639,U10,M,NC,2025-08-30,A,2.0,4.0,L,Virginia Legacy Tournaments,Warhill,,https://rankings.gotsport.com/teams/568218.0/game-history,2025-10-16T22:30:44.274476
gotsport,568218.0,453e7cd20b14,Carolina United Soccer Association,,2015 Smithfield Lightning,371688,U10,M,NC,2025-05-25,A,1.0,3.0,L,Tidewater Sharks,Warhill,,https://rankings.gotsport.com/teams/568218.0/game-history,2025-10-16T22:30:44.274484
gotsport,568218.0,453e7cd20b14,Carolina United Soccer Association,,Baystars FC White Caps,399387,U10,M,NC,2025-05-24,A,1.0,1.0,D,Tidewater Sharks,Warhill,,https://rankings.gotsport.com/teams/568218.0/game-history,2025-10-16T22:30:44.274492
gotsport,568218.0,453e7cd20b14,Carolina United Soccer Association,,SMS 2015 Boys Academy Black,408649,U10,M,NC,2025-05-24,H,0.0,6.0,L,Tidewater Sharks,Warhill,,https://rankings.gotsport.com/teams/568218.0/game-history,2025-10-16T22:30:44.274499
gotsport,568218.0,453e7cd20b14,Carolina United Soccer Association,,Beach FC 2016B TASL Union,289839,U10,M,NC,2025-03-16,H,7.0,1.0,W,Virginia Beach Columbus Day,Hampton Roads Soccer Complex,,https://rankings.gotsport.com/teams/568218.0/game-history,2025-10-16T22:30:44.274507
gotsport,568218.0,453e7cd20b14,Carolina United Soccer Association,,Richmond Strikers South 2016B Elite South,119176,U10,M,NC,2025-03-15,A,4.0,4.0,D,Virginia Beach Columbus Day,Hampton Roads Soccer Complex,,https://rankings.gotsport.com/teams/568218.0/game-history,2025-10-16T22:30:44.274515
gotsport,568218.0,453e7cd20b14,Carolina United Soccer Association,,Virginia Valor FC 2016B Black,497627,U10,M,NC,2025-03-15,H,2.0,3.0,L,Virginia Beach Columbus Day,Hampton Roads Soccer Complex,,https://rankings.gotsport.com/teams/568218.0/game-history,2025-10-16T22:30:44.274523
gotsport,568218.0,453e7cd20b14,Carolina United Soccer Association,,Beach FC-2016-Strokes-Vipers,508124,U10,M,NC,2024-11-24,H,0.0,0.0,D,Chesapeake Challenge Cup,CENTERVILLE SOCCER COMPLEX,,https://rankings.gotsport.com/teams/568218.0/game-history,2025-10-16T22:30:44.274531
gotsport,568218.0,453e7cd20b14,Carolina United Soccer Association,,2016B Falcons,492518,U10,M,NC,2024-11-23,A,6.0,2.0,W,Chesapeake Challenge Cup,CENTERVILLE SOCCER COMPLEX,,https://rankings.gotsport.com/teams/568218.0/game-history,2025-10-16T22:30:44.274538
gotsport,568218.0,453e7cd20b14,Carolina United Soccer Association,,CSC Galaxy B 2016,521097,U10,M,NC,2024-11-23,A,1.0,2.0,L,Chesapeake Challenge Cup,CENTERVILLE SOCCER COMPLEX,,https://rankings.gotsport.com/teams/568218.0/game-history,2025-10-16T22:30:44.274546
