team_id_master,team_id_source,team_name,club_name,state,gender,age_group,provider
b35f01c94e61,279755.0,Phoenix FC 2015 Boys,,AL,M,U11,GotSport
defe4b04a090,383387.0,Fire 15 Red,,AL,M,U11,GotSport
2bc19f8fe26c,389152.0,TUSC Academy Boys 2015 Red,,AL,M,U11,GotSport
60c330096eff,393638.0,Alabama FC Central 15B Academy South Red,,AL,M,U11,GotSport
364ddc2477dc,393646.0,Alabama FC Central 15B Academy South Black,,AL,M,U11,GotSport
68e98428c38f,398840.0,Hoover Jr Phantoms 2015 Blue,,AL,M,U11,GotSport
69d5b2c38586,409154.0,NASC Gravity 15B Barca,,AL,M,U11,GotSport
303a5a6d1c34,409155.0,NASC Gravity 15B ManU,,AL,M,U11,GotSport
b6282dd13e2c,411197.0,AFCHSV- USC 2015 Boys Premier,,AL,M,U11,GotSport
6834fc3d3b4f,411198.0,AFCHSV- USC 2015 Boys Elite,,AL,M,U11,GotSport
0008d0a0e975,411199.0,USC 15 Boys Select,,AL,M,U11,GotSport
f9d2aac11a0e,453104.0,Phoenix FC 2015 Boys Black,,AL,M,U11,GotSport
260218dc9e7b,453106.0,Phoenix FC 2015 Boys Gold,,AL,M,U11,GotSport
eb6a566e698e,456779.0,Cottontown United 15 Boys,,AL,M,U11,GotSport
79d2d607e8db,486787.0,OWS FC 2015,,AL,M,U11,GotSport
99aa25c81709,500986.0,NOW FC BOYS 2015 Black,,AL,M,U11,GotSport
af1af3579805,515808.0,NASC Gravity15B Chelsea,,AL,M,U11,GotSport
53eba1eb37e5,527980.0,TFC 2015 Boys Black,,AL,M,U11,GotSport
54f364b205c1,527983.0,TFC 2015 Boys White,,AL,M,U11,GotSport
d4be00c026fa,533995.0,Dothan Shockers FC 15B,,AL,M,U11,GotSport
be368e57fc09,535622.0,AL Rush 15/16 Academy DC,,AL,M,U11,GotSport
65fd50712516,542254.0,AFCHSV- USC 2015 Boys Adidas,,AL,M,U11,GotSport
2db0be8ffd02,542389.0,GlobalJC-B11A-Nobrega,,AL,M,U11,GotSport
cb4f2fd1129e,549637.0,Auburn Soccer Club 2015 Boys Blue,,AL,M,U11,GotSport
7806489a7c63,549664.0,Auburn Soccer Club 2015 Boys White,,AL,M,U11,GotSport
f115e019b895,591896.0,Fenómenos 2015,,AL,M,U11,GotSport
fc32c0d6fca3,596902.0,DSC 2015 U10 Boys (WHITE),,AL,M,U11,GotSport
2c973347ecd7,610200.0,SOCA u10 Boys Jamboree Blue,,AL,M,U11,GotSport
226362c0aa4b,610201.0,SOCA u10 Boys Jamboree White,,AL,M,U11,GotSport
db9e8ea2bc28,610202.0,SOCA u10 Boys Jamboree Red,,AL,M,U11,GotSport
011714c00354,610314.0,Savage Premier 2015,,AL,M,U11,GotSport
546b6b6829bc,621084.0,Rip City Surf 15B East,,AL,M,U11,GotSport
a3800575ef2f,623861.0,"Red Bulls Regional Select, Westchester, Boys 2015 White",,AL,M,U11,GotSport
93d2a652dba7,626882.0,Fusion FC 2014B,,AL,M,U11,GotSport
76ed47df1c15,627633.0,Auburn Soccer Club EAST 2015 Boys,,AL,M,U11,GotSport
3ad4548cba2e,628824.0,Hoover Vestavia 15B Yellow Pre-MLS NEXT,,AL,M,U11,GotSport
6165f438c357,635027.0,FWSC 2015B Mannheim,,AL,M,U11,GotSport
b6c2ea49c2d8,635774.0,Hoover Vestavia 15B Grey Pre MLS NEXT,,AL,M,U11,GotSport
ece99b3008f8,638659.0,AFC Central 15B Academy North Red,,AL,M,U11,GotSport
114aee5ee5ef,638666.0,TUSC Academy Boys 2014,,AL,M,U11,GotSport
ac63c2195035,648752.0,Steamers 15 Leverkusen,,AL,M,U11,GotSport
66bef2ae91a3,652694.0,Barca Academy Hoover 15 Boys Blue,,AL,M,U11,GotSport
377083b09e35,654850.0,Enterprise United 2015B,,AL,M,U11,GotSport
5ee92dab7563,673395.0,Alabama FC South 15B Navy,,AL,M,U11,GotSport
7a0bc81c6b24,678267.0,AFC Central 15B North Academy Navy,,AL,M,U11,GotSport
57dd91ce6f2c,,NCU FC 15B WHITE-CULLMAN,,AL,M,U11,GotSport
d83b890e70e4,,Madison Blaze 2015B,,AL,M,U11,GotSport
1c514444877b,,HCSC 2015 BOYS,,AL,M,U11,GotSport
