team_id_master,team_id_source,team_name,club_name,state,gender,age_group,provider
a387a5b39aa6,58574.0,B2015 Blue 24/25,,CA,M,U11,GotSport
0d277f034fb5,75463.0,Briceno Galaxy,,CA,M,U11,GotSport
5a23551c9df0,78396.0,Santa Clara Sporting 15B Green,,CA,M,U11,GotSport
75e00b95ac87,94582.0,AC Marin Boys 2015 White,,CA,M,U11,GotSport
9e3337c8435a,94659.0,B2015 White 24/25,,CA,M,U11,GotSport
0ed14ce27a10,94663.0,2015B Lightning,,CA,M,U11,GotSport
5506b319b7fd,94664.0,B2015 Blue,,CA,M,U11,GotSport
75052587227c,95643.0,Ajax United 15B Academy Pre-MLS Next,,CA,M,U11,GotSport
3816e9f76db3,103241.0,La Jolla Impact B2015 Blue,,CA,M,U11,GotSport
5333efc9da13,108026.0,B15 Premier Belleh,,CA,M,U11,GotSport
d4928edb0ac8,114661.0,Bayern,,CA,M,U11,GotSport
4c7b22af67ed,114973.0,Revolution 15B Blue,,CA,M,U11,GotSport
c1a91abd21dd,124380.0,ECFC 15B Pre-ECNL,,CA,M,U11,GotSport
7eaba31e8e86,133155.0,Rebels SC Pre-ECNL B15A,,CA,M,U11,GotSport
88a972b40a05,133156.0,B15 Academy 2,,CA,M,U11,GotSport
bbe90a644b1a,136347.0,NB B2015,,CA,M,U11,GotSport
78e0f5293334,137723.0,ALBION SC San Diego B15 Academy,,CA,M,U11,GotSport
14268c42b5a0,145999.0,WHITE B15,,CA,M,U11,GotSport
68cf5bf25d41,146897.0,VALUSC 2015 Boys,,CA,M,U11,GotSport
93cafeba5af7,149512.0,ALBION SC Riverside B15 EA,,CA,M,U11,GotSport
9a8031232cfa,150680.0,B15 Elite,,CA,M,U11,GotSport
3e18f6d58fcb,155835.0,Cupertino FC Flames 15B White,,CA,M,U11,GotSport
cea1dd407b39,159117.0,B2015 Elite (Torres),,CA,M,U11,GotSport
3ffab77c017f,159118.0,B2015 (Andrews) RSD,,CA,M,U11,GotSport
22c5e7fbe520,160086.0,Cupertino FC Flames 15B Blue,,CA,M,U11,GotSport
bdc8540d40dd,180380.0,Fremont Rush 2015B Blue Zorros,,CA,M,U11,GotSport
0affb4f03702,184863.0,2015B Pre-ECNL,,CA,M,U11,GotSport
d00e12b88916,184864.0,2015B Premier Black,,CA,M,U11,GotSport
55364920734d,197172.0,Pacifica United SC B2015 Blue,,CA,M,U11,GotSport
ddbf216b81de,198896.0,Capo FC - B15,,CA,M,U11,GotSport
292e20c5c6d9,199368.0,DYNAMO B2015 Black,,CA,M,U11,GotSport
0b470837e89e,199748.0,Dynamo LA Tigers,,CA,M,U11,GotSport
703318e1201d,206978.0,Palo Alto SC 15B Pre-MLS NEXT,,CA,M,U11,GotSport
c7f7da87f297,207926.0,MVLA 15B Liverpool Blue,,CA,M,U11,GotSport
f753f9a3441e,210525.0,SC LIONS 2015B RED,,CA,M,U11,GotSport
c9ff9f0314c4,211117.0,JSC 15B Black,,CA,M,U11,GotSport
7d7c8433baa7,211149.0,Almaden FC 15B Pre-MLS Next,,CA,M,U11,GotSport
a11ada3ec0da,212307.0,15B EA,,CA,M,U11,GotSport
6157e6b53dc5,215608.0,CVFA 15B Academy II,,CA,M,U11,GotSport
ec9f79a716bb,215611.0,CVFA 15B Academy,,CA,M,U11,GotSport
f2993197ef97,216238.0,15B White,,CA,M,U11,GotSport
dbad0984ef83,216423.0,WSC Crush 15 Boys Black,,CA,M,U11,GotSport
8606bd3da8c3,216506.0,Force 15B Elite,,CA,M,U11,GotSport
809487075d41,216507.0,Force 15B Elite II,,CA,M,U11,GotSport
2371bf2a025e,216619.0,Cupertino FC Flames 15B,,CA,M,U11,GotSport
586485098344,216628.0,Cupertino FC Flames 15B Red,,CA,M,U11,GotSport
5e1440d6720d,217275.0,FLS 15B Premier I,,CA,M,U11,GotSport
