team_id_master,team_id_source,team_name,club_name,state,gender,age_group,provider
84a248500705,53958.0,Millennium Soccer Academy 15B Black,,IN,M,U11,GotSport
c9c9f247ec3a,54865.0,FWSC 2015B Hanover,,IN,M,U11,GotSport
c8708128d9fa,61072.0,Indy Premier 15B Mundial,,IN,M,U11,GotSport
fe9bb0a2463b,61074.0,Indy Premier 15B Elite I,,IN,M,U11,GotSport
ca50920d5807,61077.0,Indy Premier 15B Copa,,IN,M,U11,GotSport
afd79f592f59,107386.0,Impact SC SIFC 2016 Boys Copa,,IN,M,U11,GotSport
7978986d572f,110466.0,Indiana Elite FC Pre - ECNL B15,,IN,M,U11,GotSport
eb784a026a06,111245.0,Central Indiana Futbol Club 2015/16B,,IN,M,U11,GotSport
f0f580443ec8,116223.0,NWI Lions United 2015B Yellow,,IN,M,U11,GotSport
ed8eaf518e4d,152260.0,Rangers Academy 2015 11u Boys DA BLUE,,IN,M,U11,GotSport
79003cd0e3ee,154984.0,NWI Lions United 2015B Yellow II,,IN,M,U11,GotSport
190d60ee4302,172455.0,Union FC Indy 2015 Boys Teal II,,IN,M,U11,GotSport
daed0904b42c,172456.0,Union FC Indy 2015 Boys Black,,IN,M,U11,GotSport
4b712e4b964f,172457.0,Union FC Indy 2015 Boys White,,IN,M,U11,GotSport
310aa90aa9ab,172462.0,Union FC Indy 2015 Boys Teal I,,IN,M,U11,GotSport
13bb2050e189,177844.0,Komets 2015 Boys Gold,,IN,M,U11,GotSport
416eb991066a,244295.0,Indy Eleven 2015B IDP,,IN,M,U11,GotSport
150d42c76d30,255385.0,Carmel FC 2015B Gold,,IN,M,U11,GotSport
f97fc2aefce5,264079.0,FC Pride 2015 Boys Pre-ECNL,,IN,M,U11,GotSport
93b4719dd6ec,264862.0,Hoosier FC 2015B Elite Wolves I,,IN,M,U11,GotSport
3aec997a42b2,264864.0,Hoosier FC 2015B Elite Wolves II,,IN,M,U11,GotSport
9e9db16ec53a,264865.0,Hoosier FC 2015B Elite Wolves III,,IN,M,U11,GotSport
5b8dbdd0cb6b,264869.0,Hoosier FC 2015B Wolves Gray,,IN,M,U11,GotSport
5f9fbe2c7b2b,265606.0,USAI 2015B Red,,IN,M,U11,GotSport
5e682d09d827,266800.0,Delaware County FC 2015 Boys 1,,IN,M,U11,GotSport
486de92c9276,267531.0,St Francis Premier 2015B Blue,,IN,M,U11,GotSport
5161d1d89b0d,267534.0,St Francis Premier 2015B Grey,,IN,M,U11,GotSport
08fb59e8ed2f,268463.0,TH Premier 2015B Copa,,IN,M,U11,GotSport
4c6925eeca78,269034.0,Jr Irish 2015B Dest,,IN,M,U11,GotSport
539934b5c89b,269036.0,Jr Irish 2015B Green,,IN,M,U11,GotSport
7a37ef1c6cf1,269037.0,Jr Irish 2015B White,,IN,M,U11,GotSport
9d829f1f26cf,269046.0,Dynamo 2015 Boys Red,,IN,M,U11,GotSport
044774ec8a05,269047.0,Dynamo 2015 Boys Black,,IN,M,U11,GotSport
e9ac3b138137,269048.0,Dynamo 2015 Boys White,,IN,M,U11,GotSport
e9088636f763,269137.0,Indy Premier 15B Elite II,,IN,M,U11,GotSport
beef37732212,269195.0,Columbus Express 2015B Orange,,IN,M,U11,GotSport
adbef5eb2b71,269473.0,Carmel FC 2015B Blue,,IN,M,U11,GotSport
761ea8092047,269475.0,Carmel FC 2015B White,,IN,M,U11,GotSport
912f127f3110,269477.0,Carmel FC 2015B Gray,,IN,M,U11,GotSport
0d28cb6cfb45,269494.0,Columbus Express 2015B Blue,,IN,M,U11,GotSport
0fc0d2695008,269496.0,Columbus Express 2015B Grey,,IN,M,U11,GotSport
e0425a6946f3,271916.0,Indy Eleven Spirit 15B White,,IN,M,U11,GotSport
3ba0d4c01c7d,274641.0,FC Pride 2015 Boys Pre-ECNL 2,,IN,M,U11,GotSport
d9d48019e2ab,279403.0,Indy Eleven 2015B Red,,IN,M,U11,GotSport
b828ae01103a,279406.0,Indy Eleven 2015B Red 2,,IN,M,U11,GotSport
3af7aec48024,279408.0,Indy Eleven 2015B White,,IN,M,U11,GotSport
b2409802b493,279409.0,Indy Eleven 2015B White 2,,IN,M,U11,GotSport
ed78c17134aa,279410.0,Indy Eleven 2015B White 3,,IN,M,U11,GotSport
f9f14f09a735,287441.0,Boilers FC 2015 Boys Black,,IN,M,U11,GotSport
