team_id_master,team_id_source,team_name,club_name,state,gender,age_group,provider
d9f957561124,112114.0,2015 Lobos Rush DESOTO Blue,,MS,M,U11,GotSport
2df8ce102c14,272285.0,2015 Lobos Rush DESOTO White,,MS,M,U11,GotSport
8ab7909e3e9f,272309.0,2015 Lobos Rush HERNANDO Blue,,MS,M,U11,GotSport
3ea59f5f0039,358013.0,Alliance FC 2015 boys,,MS,M,U11,GotSport
f3831665a016,373453.0,HFC Academy Thunder '15 Navy 1,,MS,M,U11,GotSport
09be7fb53de8,373602.0,Gluckstadt FC 2015 - Green,,MS,M,U11,GotSport
d3f64ebf56f6,384688.0,Oxford FC 2015 Boys,,MS,M,U11,GotSport
c579ae6ec8ba,405829.0,Tupelo Futbol Club 2015 Boys Blue,,MS,M,U11,GotSport
feffca6d128c,416298.0,Greenville Blues 2015 Boys,,MS,M,U11,GotSport
5f15b11ec23f,464623.0,HFC Academy Thunder '15 Navy 2,,MS,M,U11,GotSport
11c6ab14a188,504043.0,2024_2025 MISSISSIPPI RUSH 2015 BOYS MADISON ELITE WHITE,,MS,M,U11,GotSport
1185e20bd647,504045.0,2024_2025 MISSISSIPPI RUSH 2015 BOYS SELECT,,MS,M,U11,GotSport
30529abac942,504047.0,MS RUSH 2015 B JACKSON PREMIER,,MS,M,U11,GotSport
4932fb220f68,511797.0,Gluckstadt FC 2015 - White,,MS,M,U11,GotSport
74e9ec07ac05,514063.0,IFC 2015 Boys Premier,,MS,M,U11,GotSport
f764d2e34e16,515858.0,Brilla JUNIORS 2015 Boys Blue,,MS,M,U11,GotSport
b728391fd79f,515859.0,Brilla JUNIORS 2015 Boys White,,MS,M,U11,GotSport
0bee541fd001,516923.0,Academy Pre-MLS 2015,,MS,M,U11,GotSport
781b6b345214,518792.0,IFC 2015 Boys Elite,,MS,M,U11,GotSport
47359202e158,518794.0,IFC 2015 Boys Academy,,MS,M,U11,GotSport
32cef359c00d,526229.0,RSC 2015 BOYS BRANDON BLACK,,MS,M,U11,GotSport
a3740d405245,545553.0,Tupelo FC 2015 Boys White,,MS,M,U11,GotSport
3d7bedf545c8,547968.0,Desoto FC 15B,,MS,M,U11,GotSport
bb8e8135b2bf,591602.0,Desoto Tornados,,MS,M,U11,GotSport
f1aa36c6b7c7,601081.0,VSO 15 boys,,MS,M,U11,GotSport
eb8193a55b94,630136.0,MISSISSIPPI RUSH 2015 BOYS JACKSON ELITE,,MS,M,U11,GotSport
70278e84924f,634589.0,MISSISSIPPI RUSH 2015 BOYS JACKSON SELECT,,MS,M,U11,GotSport
124557b3d93f,650894.0,Oxford FC 2013 Boys,,MS,M,U11,GotSport
f4b186ab5071,682174.0,MS Rush 15B Madison Elite Blue,,MS,M,U11,GotSport
a902cd9f7c3f,,MS RUSH 2015 BOYS MADISON PREMIER,,MS,M,U11,GotSport
