team_id_master,team_id_source,team_name,club_name,state,gender,age_group,provider
0ff2ac637cf4,305247.0,Dickinson SC U9/10 Boys Orange,,ND,M,U11,GotSport
99b9b98ff9f4,305248.0,Dickinson SC U9/10 Boys White,,ND,M,U11,GotSport
d037a8cb8a8a,371841.0,WUFC U10 Boys Orange,,ND,M,U11,GotSport
f07b7e3b139d,426833.0,TCU 2015 Boys Black,,ND,M,U11,GotSport
71e6680250ee,445610.0,Mc Legends U10 Boys 2015 Red,,ND,M,U11,GotSport
8301e9e98920,501162.0,Magic Soccer FC 15B Black - Team ID: 09B1189,,ND,M,U11,GotSport
7e3e264c7b83,501164.0,Magic Soccer FC 15B Green - Team ID: 09B2508,,ND,M,U11,GotSport
ded0e7962cdd,570972.0,MSC U9/10 Boys,,ND,M,U11,GotSport
bbe44c4aa196,601864.0,2015 Boys U10,,ND,M,U11,GotSport
b3b221e9eead,611994.0,WUFC U10 Boys Black,,ND,M,U11,GotSport
509c19fc5188,651194.0,GGFSC 2015B,,ND,M,U11,GotSport
