team_id_master,team_id_source,team_name,club_name,state,gender,age_group,provider
55c7b794ec57,365392.0,EMFC 15B Monaco Premier 1,,OR,M,U11,GotSport
c86cc455e1a4,367920.0,15B TS Copa,,OR,M,U11,GotSport
8254cd83e629,368075.0,15B TS Samba,,OR,M,U11,GotSport
3620e446bdfe,368719.0,15B Copa Red,,OR,M,U11,GotSport
668564f0b30c,368720.0,15B Copa White,,OR,M,U11,GotSport
56c8f6fb0de6,368721.0,Westside Metros 15B Samba,,OR,M,U11,GotSport
89a959aadf37,368872.0,Capital FC 15B Red PA,,OR,M,U11,GotSport
0b08264b0f9c,368873.0,Capital FC 15B Black PA,,OR,M,U11,GotSport
884fab98c3a6,368875.0,Capital FC 15B White,,OR,M,U11,GotSport
6f8df379ae14,368888.0,Saints 15B Gold,,OR,M,U11,GotSport
6fd1d94ec574,370654.0,2015B FC Piamonte,,OR,M,U11,GotSport
faaf8ff3a6e4,372065.0,SCA 2015 Pre MLSNext Boys,,OR,M,U11,GotSport
f70cba2ecfde,372149.0,Saints 15B Blue,,OR,M,U11,GotSport
bc9dcc0e7614,373112.0,SESC 15B Warriors White,,OR,M,U11,GotSport
6c64eecaa6ea,373644.0,SESC 15B Warriors Blue,,OR,M,U11,GotSport
bc7711ccdada,381277.0,WOODBURN FC B15 Academy,,OR,M,U11,GotSport
816943d71864,381278.0,WOODBURN FC B15 Premier,,OR,M,U11,GotSport
a90e57774f8f,382858.0,PCU 15B Red,,OR,M,U11,GotSport
b8bd2b7e0203,382859.0,PCU 15B Black,,OR,M,U11,GotSport
f0cad8d01484,383886.0,ALBION SC Portland B15 Academy,,OR,M,U11,GotSport
8a88ab29b7d4,384454.0,Hillsboro Rush 15B Pre-MLS Next,,OR,M,U11,GotSport
43e183a621c5,384455.0,Hillsboro Rush 15B White,,OR,M,U11,GotSport
8762047ac9e9,384535.0,HFSA 2015,,OR,M,U11,GotSport
ef0f511042a7,386354.0,CUSC 15B Red Snakes,,OR,M,U11,GotSport
dbcaeb3bedcc,387858.0,Lake Oswego SC 2015B White,,OR,M,U11,GotSport
c44139cc8f10,388340.0,Pumitas academy,,OR,M,U11,GotSport
79ab56d048ab,486230.0,Umpqua United Soccer Club - U10B,,OR,M,U11,GotSport
e72cf53f3cd7,493493.0,15B Brazuca,,OR,M,U11,GotSport
eca0648edfd1,496525.0,Saints 15B Blue Premier,,OR,M,U11,GotSport
464434b66827,496706.0,OVF Alliance 15B Navy,,OR,M,U11,GotSport
db21e7346eb4,497154.0,Capital FC 15B Grey,,OR,M,U11,GotSport
969a8edbd386,498509.0,15B Copa Blue,,OR,M,U11,GotSport
c45398b3c6b7,498511.0,15B Mundial,,OR,M,U11,GotSport
d624df3ae3bf,499069.0,EMFC 15B Monaco Premier 2,,OR,M,U11,GotSport
8f56c35aca27,499164.0,EMFC 15B Monaco Comp 2,,OR,M,U11,GotSport
c426162ae03b,500652.0,ADF Portland 2016B,,OR,M,U11,GotSport
e3e46568c310,501310.0,RecStars 7v7 boys White,,OR,M,U11,GotSport
c280cb2f2b29,507147.0,SCA 2015B Gold,,OR,M,U11,GotSport
5cd5556f75ed,511784.0,15B Elite - Pre MLS Next,,OR,M,U11,GotSport
e24a1bb5c9dc,511785.0,15B Blue,,OR,M,U11,GotSport
4868c5110f89,514275.0,WUFC 15B White,,OR,M,U11,GotSport
24e1f02f0fca,514276.0,WUFC 15B Navy,,OR,M,U11,GotSport
45ecb8bf0294,517968.0,CUSC 15B Red Strikers,,OR,M,U11,GotSport
f186a7e09df0,559866.0,OFA 15B Black,,OR,M,U11,GotSport
56c83d717ee2,572202.0,CFC 14B Red Pre-RL,,OR,M,U11,GotSport
f895bde43312,608918.0,OFA 15B Blue,,OR,M,U11,GotSport
f4dc2cf3700b,613273.0,Rogue Valley Timbers 15B Red,,OR,M,U11,GotSport
17f9f39834a0,614502.0,PCFC Unity,,OR,M,U11,GotSport
5292a2aba884,617362.0,Columbia Premier SC 15B Black 3,,OR,M,U11,GotSport
8076038d70bd,620498.0,CUSC 15B Black Venom,,OR,M,U11,GotSport
c3866b69f1c4,622112.0,ADF Deportivo rose city B2015 Leon,,OR,M,U11,GotSport
7791429966b2,622554.0,Genesis 15B,,OR,M,U11,GotSport
207037ee24e3,622557.0,Genesis FC 15B,,OR,M,U11,GotSport
69d0efd3cb3a,622739.0,Bend FC 15B Premier,,OR,M,U11,GotSport
9ee536ba7183,622740.0,Bend FC 15B Competitive,,OR,M,U11,GotSport
0b599f1d305c,622809.0,Rogue United FC 2015B - Green,,OR,M,U11,GotSport
5df810afd69b,624146.0,LOSC 15B Gold,,OR,M,U11,GotSport
a57772f020cc,624467.0,15B White,,OR,M,U11,GotSport
44f3683c4c41,625096.0,Lincoln Youth Soccer,,OR,M,U11,GotSport
72c86992362a,625113.0,Bend FC 15B Select,,OR,M,U11,GotSport
591dcc972bf2,625863.0,FC Portland 15B Navy,,OR,M,U11,GotSport
434f90334e09,625868.0,FC Portland 15B White,,OR,M,U11,GotSport
d351d43ad429,626101.0,HFSA 2015 Black,,OR,M,U11,GotSport
1f7241670d96,626252.0,Columbia Premier SC 15B Black 4,,OR,M,U11,GotSport
037a4fa347b5,627262.0,United PDX 2015B Blue,,OR,M,U11,GotSport
031ae8071471,627265.0,United PDX 2015B Grey,,OR,M,U11,GotSport
96456d26aae7,627334.0,Bend FC15B Premier,,OR,M,U11,GotSport
886dd6991247,627376.0,Apex FC 2015B White,,OR,M,U11,GotSport
d58ad1cb15ee,629212.0,EST 2015B Red 1,,OR,M,U11,GotSport
177cbcc18f4b,629904.0,UNITED PDX 15B WEST,,OR,M,U11,GotSport
62f86b26c15f,630009.0,LCYSA u11B,,OR,M,U11,GotSport
4dc19d190d51,631780.0,NCA 15B,,OR,M,U11,GotSport
f9c20f7dec4d,632130.0,15B Copa Gorge,,OR,M,U11,GotSport
adcff22a5cfa,632214.0,Woodburn B2015 Premier,,OR,M,U11,GotSport
8553821969e6,632470.0,CPSC 15B White 1,,OR,M,U11,GotSport
4a35a0421318,635792.0,Lake Oswego Soccer Club 2015b Royal,,OR,M,U11,GotSport
81df8a7e0d5b,636389.0,Lake Oswego SC 15B White,,OR,M,U11,GotSport
217bfb50541e,636827.0,Apex FC 2015 Boys Navy,,OR,M,U11,GotSport
2ee5068fdfd6,644027.0,CCSA United 5th Coed,,OR,M,U11,GotSport
a61e6f0c652b,644236.0,Black Foxes,,OR,M,U11,GotSport
7a676e8dd8c5,646530.0,Capital FC Future Boys,,OR,M,U11,GotSport
04ebfa4567af,649137.0,OVF Alliance 15B White,,OR,M,U11,GotSport
a1040dcd76a1,650632.0,Eastside Timbers 2015B Red II,,OR,M,U11,GotSport
1f3b01bac399,652056.0,HellCats,,OR,M,U11,GotSport
6a42a4285018,652940.0,Coras 2015,,OR,M,U11,GotSport
b56aae1075b3,657594.0,United PDX - 15B Gorge,,OR,M,U11,GotSport
a98510c895f4,669305.0,Toluca 14B,,OR,M,U11,GotSport
c8117aaba8e8,673044.0,UC United SC,,OR,M,U11,GotSport
ff1f6e476a62,,ADF Portland 2015B,,OR,M,U11,GotSport
dcb5801c6a6f,,Basin United,,OR,M,U11,GotSport
