team_id_master,team_id_source,team_name,club_name,state,gender,age_group,provider
e438128e6a20,312927.0,Hurricanes 2016,,PA,F,U10,GotSport
ff891f0807ef,354501.0,White Dtown '16 (G),,PA,F,U10,GotSport
a7b37acfb2f2,354503.0,Black Dtown '16 (G),,PA,F,U10,GotSport
bb9eda523112,354505.0,White Conshy '16 (G),,PA,F,U10,GotSport
0aade2757bb8,354508.0,Black Conshy '16 (G),,PA,F,U10,GotSport
c4a8e4877e4f,359597.0,Philadelphia SC Surf 16 Force,,PA,F,U10,GotSport
10b0796c81c6,360702.0,Blue Dynamite 2016G,,PA,F,U10,GotSport
bdc1b3bb35de,365100.0,NEU 2016 Reapers,,PA,F,U10,GotSport
f7a7871c3f7a,368494.0,FCE 2016 Girls Pre ECNL,,PA,F,U10,GotSport
361e5b453dc9,368606.0,2016 Rush Pre-GA,,PA,F,U10,GotSport
a84f4a654e4e,370476.0,Momentum 2016,,PA,F,U10,GotSport
ea5206a9be98,370786.0,2016 Girls APEX Black,,PA,F,U10,GotSport
893688877a1c,371897.0,Spirit Black '16,,PA,F,U10,GotSport
dbeb0ceace08,371957.0,2016 Horsham Hurricanes Gold (G),,PA,F,U10,GotSport
46a541b916b5,372053.0,LMSC Summer Select 2016/2017G,,PA,F,U10,GotSport
2c1a19ca5232,372396.0,Valkyries,,PA,F,U10,GotSport
ddbc40e91536,374222.0,LMSC 2016G Navy,,PA,F,U10,GotSport
778060a9b682,380639.0,G16,,PA,F,U10,GotSport
33e5a78a9ec3,381121.0,Pre-Academy 16G,,PA,F,U10,GotSport
467a5cc28f92,383364.0,Eagle FC 16G Black,,PA,F,U10,GotSport
a2b06a1350d7,386134.0,2016G Blue,,PA,F,U10,GotSport
debf3e10be40,386855.0,Girls Elite 16s,,PA,F,U10,GotSport
6d1637e229fb,387018.0,Hershey SC 2016 F Orange Trailblazers,,PA,F,U10,GotSport
dc8c0f74723b,387825.0,SJW Girls 2016,,PA,F,U10,GotSport
f02cb677cc68,390772.0,NOR NSSC 17 LIGHTNING,,PA,F,U10,GotSport
7bc4f6793035,392450.0,Rose Tree Red Stars,,PA,F,U10,GotSport
7d8cffca0372,402833.0,2016 Girls Premier,,PA,F,U10,GotSport
a87688f4494e,410836.0,Cocalico Girls United,,PA,F,U10,GotSport
95f8d8d70727,429065.0,FCE 2016 Girls Elite,,PA,F,U10,GotSport
dc3bc8a6f259,448641.0,16G Black,,PA,F,U10,GotSport
cfd1a2b8f246,448647.0,16G Red,,PA,F,U10,GotSport
c46e73862784,452016.0,Century United 2016 Girls Platinum,,PA,F,U10,GotSport
cf2939e2dbcc,452097.0,2016 Shooting Stars,,PA,F,U10,GotSport
2ba04a57f8d3,459201.0,Dominators,,PA,F,U10,GotSport
179db505670c,459203.0,Kicks,,PA,F,U10,GotSport
487f15c3664c,461948.0,STM Strikers (Black) - 2016 Girls,,PA,F,U10,GotSport
7712920c07d7,463252.0,FC Dallastown Lady Wildcats 16 Blue,,PA,F,U10,GotSport
306e99707dda,466743.0,Hulmeville Holy Flames,,PA,F,U10,GotSport
a3487abb1598,467981.0,CASA 2016F Premier,,PA,F,U10,GotSport
d2a1bdbeb58b,470640.0,2016 G Navy,,PA,F,U10,GotSport
fb036db8ebcc,471931.0,Elite 2016,,PA,F,U10,GotSport
95d239b24ebd,471932.0,Reds 2016,,PA,F,U10,GotSport
d48952db6b11,471933.0,United 2016,,PA,F,U10,GotSport
c673cb6fc64f,475626.0,Nazareth Storm FC,,PA,F,U10,GotSport
185187ca5321,479087.0,2016 Girls Red,,PA,F,U10,GotSport
fa021d49bc5a,485090.0,Fox Chase Diamonds 2016,,PA,F,U10,GotSport
1aa0e942dc6b,485274.0,NEU 2016 Predators,,PA,F,U10,GotSport
e8c0f665e134,485353.0,FusionFC_16F_Fury,,PA,F,U10,GotSport
2ed44c69929b,489420.0,White Diamonds 2016G,,PA,F,U10,GotSport
a5b7b6f34e8f,491769.0,2016 Girls APEX Green,,PA,F,U10,GotSport
0569764e80bd,492330.0,Philadelphia SC Surf 17 Rhythm Black,,PA,F,U10,GotSport
b4f3d64b27eb,494892.0,Whitpain 16 Girls Black Storm,,PA,F,U10,GotSport
ac4085dc016d,496967.0,VE Tempo Green,,PA,F,U10,GotSport
