team_id_master,team_id_source,team_name,club_name,state,gender,age_group,provider
ed5cdc23f4e8,24412.0,FCE 2015 Boys Pre ECNL,,PA,M,U11,GotSport
f51c9b04770e,24414.0,FCE 2015 Boys Elite,,PA,M,U11,GotSport
0527db5efbbb,108516.0,FCE 2015 Boys Premier,,PA,M,U11,GotSport
7ed1704bf00c,112706.0,2014 Red Bulls,,PA,M,U11,GotSport
eb4d5a8cdb93,162536.0,TigerDogs 2015,,PA,M,U11,GotSport
7d7126329f4b,163868.0,Peregrine Falcons 2015,,PA,M,U11,GotSport
5c43a0defa9a,222509.0,BSA Celta Academy Fuego 2015,,PA,M,U11,GotSport
4e229cb0d647,223654.0,PreECNL 2015,,PA,M,U11,GotSport
cda0db8c745c,230795.0,Black Conshy '15 (B),,PA,M,U11,GotSport
2101a043b013,230796.0,White Conshy '15 (B),,PA,M,U11,GotSport
0ea62bf4b466,230797.0,Gold Conshy '15 (B),,PA,M,U11,GotSport
34459c418bea,230799.0,Black Dtown '15 (B),,PA,M,U11,GotSport
2e0ad6ca17e2,230800.0,White Dtown '15 (B),,PA,M,U11,GotSport
99edb9a06bea,230801.0,Gold Dtown '15 (B),,PA,M,U11,GotSport
318bd10a059f,241162.0,Philadelphia SC Surf 15 Black,,PA,M,U11,GotSport
47b49fd3c601,241263.0,Philadelphia SC Surf 15 Blue,,PA,M,U11,GotSport
61c9f58a572b,241684.0,2015B Warrington Galaxy,,PA,M,U11,GotSport
878dbd8a52cc,245626.0,2015 Boys Blue,,PA,M,U11,GotSport
fdae77a7a40a,245627.0,2015 Boys Falcons Green,,PA,M,U11,GotSport
d28735135e52,246096.0,Philadelphia SC Surf 15 Red Devils,,PA,M,U11,GotSport
80eca53bc74e,248591.0,Parkwood Renegades,,PA,M,U11,GotSport
508ff5058e7e,249141.0,Parkwood Aaronson,,PA,M,U11,GotSport
7126016386dc,250357.0,Newcastle,,PA,M,U11,GotSport
81f9f59c5140,250882.0,PA Classics Academy Lancaster 15M,,PA,M,U11,GotSport
34d17ae44664,251191.0,Sting Black '15,,PA,M,U11,GotSport
69080f209752,251192.0,Sting Red '15,,PA,M,U11,GotSport
55896c86d95a,252744.0,2015 Rush Boys,,PA,M,U11,GotSport
177e172eed34,252847.0,2015 Horsham Hurricanes Gold (B),,PA,M,U11,GotSport
be10a9a06f56,253067.0,Prussians 2015 Boys Blue,,PA,M,U11,GotSport
074701e47dbc,253468.0,Buckingham United 2015 Boys Blue,,PA,M,U11,GotSport
3a24354e3fb2,254059.0,HVAA 2015B Fury,,PA,M,U11,GotSport
459bf223d772,254580.0,2015 Green,,PA,M,U11,GotSport
8eeca9725d5a,254717.0,Dynamo United 2015,,PA,M,U11,GotSport
59b658e968ea,257363.0,2015 Boys Premier,,PA,M,U11,GotSport
42731c4cc73e,257367.0,2015 Boys Black,,PA,M,U11,GotSport
e6700bd205bc,257370.0,2015 Boys Red,,PA,M,U11,GotSport
4fb1aa5a798d,257696.0,Pre-Academy 15B,,PA,M,U11,GotSport
372e2a782541,261069.0,CASA 2015M Premier,,PA,M,U11,GotSport
fd188f7547ab,262600.0,2015 Red Devils,,PA,M,U11,GotSport
212f620157d9,262867.0,Hershey SC 2015 M Orange Comets,,PA,M,U11,GotSport
570cf662b857,265492.0,2015 B Navy,,PA,M,U11,GotSport
f547ae59e979,266855.0,15B Red,,PA,M,U11,GotSport
ec78cc1f8dea,267193.0,2015B Pre-ECNL,,PA,M,U11,GotSport
7ad10b5c3e8c,268235.0,U11 Boys 2015 Black,,PA,M,U11,GotSport
39efac472d4f,273640.0,FC3 Premier 2015 Atlas,,PA,M,U11,GotSport
6bd56ca970c4,274871.0,Boys 15s Elite,,PA,M,U11,GotSport
5ce54657f0ae,276292.0,NEU 2015 Cobras,,PA,M,U11,GotSport
001c1159773d,276986.0,FC Pittsburgh Boys Academy Gold,,PA,M,U11,GotSport
cc84c6acd517,282647.0,Spring Grove Chaos,,PA,M,U11,GotSport
eb6d072b594e,286839.0,Rose Tree Kixx,,PA,M,U11,GotSport
85d53ec91a50,286840.0,Rose Tree Impact,,PA,M,U11,GotSport
3b91b35f08ab,289077.0,Steel City FC East 2015B Blue,,PA,M,U11,GotSport
2d5a7f9585df,291723.0,LMSC 2015B Navy,,PA,M,U11,GotSport
98cdd517eaed,291724.0,LMSC 2015B Red,,PA,M,U11,GotSport
26f006cfe10b,317947.0,Bristol Soccer Club - Lightning 2015,,PA,M,U11,GotSport
b2de1631c706,318379.0,B15,,PA,M,U11,GotSport
26e391d61c63,326406.0,15B Black,,PA,M,U11,GotSport
279996639fef,327250.0,Beadling 2015 Boys South Red,,PA,M,U11,GotSport
d67b3ffae0cd,327255.0,Beadling 2015 Boys South White,,PA,M,U11,GotSport
928dae057956,328092.0,2015B,,PA,M,U11,GotSport
adfea275aef2,329701.0,HVAA 2015B Fire,,PA,M,U11,GotSport
f3cd8bdcc077,330460.0,So. Lehigh 2015 Boys White - Witmer/Crafts,,PA,M,U11,GotSport
76ec0ce220a4,333626.0,Iron Valley United 2015 Boys Red,,PA,M,U11,GotSport
e547729d5db4,334138.0,Summer Select Black '15 (B),,PA,M,U11,GotSport
d1f14cf188ae,334139.0,Summer Select White '15 (B),,PA,M,U11,GotSport
bd704effe917,334140.0,Summer Select Gold '15 (B),,PA,M,U11,GotSport
205f2a873a16,335269.0,2015 Boys Black - Mbappe,,PA,M,U11,GotSport
80d18591fdfa,337853.0,2015 Strikers,,PA,M,U11,GotSport
5205654213ad,338829.0,KSC Black 2015,,PA,M,U11,GotSport
9d54daa34790,341645.0,NE Elite 2015,,PA,M,U11,GotSport
36b6509d3972,341658.0,SUSQUEHANNA CPU LIONS Elite,,PA,M,U11,GotSport
d066c9d60a88,341959.0,LMYA Vipers 2015,,PA,M,U11,GotSport
8b90a0cead32,342321.0,NEU 2015 Hawks,,PA,M,U11,GotSport
6bffbd46a24c,342440.0,Southampton Vikings,,PA,M,U11,GotSport
44b4ed18606e,342841.0,Celtic SC 15,,PA,M,U11,GotSport
399fa2d1cd7d,342933.0,Strikers,,PA,M,U11,GotSport
847b58f42309,345276.0,Firebirds 2015B,,PA,M,U11,GotSport
3f355db1573a,345409.0,PA Classics SpookyNook U10 Black M,,PA,M,U11,GotSport
3fbfe7b83ea4,345412.0,PA Classics SpookyNook U10 Green M,,PA,M,U11,GotSport
23880fc6b3cf,347424.0,Century United - 2015 Boys Platinum,,PA,M,U11,GotSport
9f6b83de5758,350122.0,South Premier 15B,,PA,M,U11,GotSport
de818615194e,350855.0,CASA 2015M Blue,,PA,M,U11,GotSport
996ae8493116,353584.0,PreECNL RL 2015,,PA,M,U11,GotSport
d47dfbc97380,353586.0,Reds 2015,,PA,M,U11,GotSport
fd0ee9c12a4d,354530.0,2015 Boys Blue Eagles,,PA,M,U11,GotSport
b6b4ec1142eb,360369.0,FSC Rovers 2015 Boys,,PA,M,U11,GotSport
47f7d8dbf63f,362986.0,Raptors - Blue,,PA,M,U11,GotSport
6bac568b64a9,363016.0,Fox Chase Thunder,,PA,M,U11,GotSport
1902870e78da,364323.0,FC Dallastown Wildcats 15 Black,,PA,M,U11,GotSport
2f2a945cfbe1,364542.0,Colonial Cyclones Black 15,,PA,M,U11,GotSport
8384543af414,364545.0,Colonial Cyclones Red 15,,PA,M,U11,GotSport
54a3e5afe82b,364731.0,Towamencin Reds,,PA,M,U11,GotSport
d15f4ff63563,364777.0,Whitpain 2015 Black Vipers,,PA,M,U11,GotSport
ce0be4faffdf,364779.0,Whitpain 2015 Green,,PA,M,U11,GotSport
03bf05fa2290,365054.0,TNT 2015 Co-Ed,,PA,M,U11,GotSport
08a84aa41e80,365639.0,2015 Glenside Celtic Boys- Green,,PA,M,U11,GotSport
4a14a0e2a3f1,367618.0,Saucon Valley 15B Black,,PA,M,U11,GotSport
7794bf4d5809,367651.0,Southern Lehigh U11 Boys Bliue - Ochs/Arnold/Yaeger,,PA,M,U11,GotSport
390d3adbea40,368235.0,2015 Boys Falcons Blue,,PA,M,U11,GotSport
5901a794a552,370047.0,2015 B White,,PA,M,U11,GotSport
28e99b2bc928,370110.0,Philadelphia SC Surf 15 Union,,PA,M,U11,GotSport
c4d82f4ba33f,370236.0,CHSC 2015 BOYS BLUE LIGHTNING,,PA,M,U11,GotSport
fb3dcecc3989,370252.0,VE Union 2016,,PA,M,U11,GotSport
17f76c3b2b73,370366.0,West Schuylkill FC Phantoms,,PA,M,U11,GotSport
8e26415a3cbc,370482.0,Rockets,,PA,M,U11,GotSport
2fc2d70b710c,370506.0,Hawks,,PA,M,U11,GotSport
969f33e80142,370602.0,HVAA 2015B Heat,,PA,M,U11,GotSport
3857456f5338,370618.0,Solebury Spears,,PA,M,U11,GotSport
652446f140d6,370651.0,PASC PREMIER 2015 BOYS PUMAS BLACK,,PA,M,U11,GotSport
9a5db8f2d3d8,370778.0,2015 Boys White,,PA,M,U11,GotSport
6c26c911895e,370780.0,2015 Boys Grey,,PA,M,U11,GotSport
360001237e22,370791.0,Aberdeen,,PA,M,U11,GotSport
abf252cc3ac4,371119.0,QSC 2015 Tigers,,PA,M,U11,GotSport
349857455386,371121.0,QSC 2015 Dragons,,PA,M,U11,GotSport
6efe7829de9f,371143.0,Wolfpack,,PA,M,U11,GotSport
2a6017aa6b02,371327.0,GYSC SPIRIT 2015,,PA,M,U11,GotSport
b4200ba05bf4,371332.0,LMSC 2015B White,,PA,M,U11,GotSport
39e5b5b36332,371333.0,LMSC 2015B Green,,PA,M,U11,GotSport
686b6a228fae,371512.0,2015 Boys,,PA,M,U11,GotSport
8b185e357cbb,371961.0,2015 Horsham Hurricanes Blue (B),,PA,M,U11,GotSport
0c94d6fc3ec3,371963.0,Palisades Pirates 2015,,PA,M,U11,GotSport
9d8ca5ccfad8,371966.0,Blue,,PA,M,U11,GotSport
695ef86aa462,371982.0,2015B Warrington Ghost,,PA,M,U11,GotSport
ed73f0be16a9,372028.0,15B Gray,,PA,M,U11,GotSport
0739adcd589d,372169.0,Vipers 2015B,,PA,M,U11,GotSport
cc6e5e0a94b4,372175.0,Valley Soccer Club Raptors,,PA,M,U11,GotSport
361febbf3472,372188.0,Fishtown Chaos,,PA,M,U11,GotSport
ad68fec1f2bc,372333.0,Lightning,,PA,M,U11,GotSport
fea3275df2cf,372352.0,2015 Rush Blue Boys,,PA,M,U11,GotSport
a8aeeb1d39ed,372365.0,Cheltenham Wolves,,PA,M,U11,GotSport
c6e326817c25,372570.0,AC Fairhill ACES 2015 A,,PA,M,U11,GotSport
d5fb58438e62,372917.0,Buckingham United 2015 Boys Green,,PA,M,U11,GotSport
caae34a6d2b6,373661.0,Vipers 2015,,PA,M,U11,GotSport
176b817e4da0,373873.0,STM Force - 2015 Boys,,PA,M,U11,GotSport
bd95234841b3,374345.0,ENCO '15 (u10) Boys Red,,PA,M,U11,GotSport
e02d9665cf09,379979.0,Lionville Boys ‘15 - Blue,,PA,M,U11,GotSport
75a091ffacb2,380157.0,Warriors 2015,,PA,M,U11,GotSport
5a0f2e8b7d54,380174.0,Carlisle Chaos,,PA,M,U11,GotSport
75ae108bbdc2,380589.0,FusionFC_15M_Red Knights,,PA,M,U11,GotSport
5c0219341149,380634.0,B15 Blue,,PA,M,U11,GotSport
5b9e9ec86edb,381096.0,DASC Chaos,,PA,M,U11,GotSport
1448ba3f7070,381118.0,Premier 15B,,PA,M,U11,GotSport
3d650e708ca3,381809.0,United White 15B,,PA,M,U11,GotSport
54035bcc5f55,381810.0,United Blue 15B,,PA,M,U11,GotSport
ca87a672818e,381947.0,Haverford Soccer Club 2015 Vipers,,PA,M,U11,GotSport
5fefba4fe96d,381948.0,2015 Rebels,,PA,M,U11,GotSport
517310de921a,382832.0,Olmsted Raiders (U9),,PA,M,U11,GotSport
357f17e85ee0,383168.0,FCCP 15 Lightning - Chapin,,PA,M,U11,GotSport
2c37dfc7edfa,383354.0,FC Ballyhoo 15 Boys Black,,PA,M,U11,GotSport
a1498f2904b9,383367.0,Eagle FC 15B Black,,PA,M,U11,GotSport
9643f544b1e2,383368.0,Eagle FC 15B Red,,PA,M,U11,GotSport
4967c311705f,384053.0,CSSC Wildboys 15,,PA,M,U11,GotSport
ae50cd287af5,384601.0,BSC United 15 Boys,,PA,M,U11,GotSport
cc8b23610b18,384639.0,Mason Dixon SC Renegades,,PA,M,U11,GotSport
d75a7c4556cf,385088.0,NSC U10 McGrenahan,,PA,M,U11,GotSport
53a0904930cf,385155.0,PA Classics Hbg 2015 Boys U11 Academy,,PA,M,U11,GotSport
9556c4204dc9,385394.0,PA Classics Hbg 2015 Boys U11 Elite,,PA,M,U11,GotSport
ae704ba60330,385595.0,PA Classics Elite Blue Lancaster 15M,,PA,M,U11,GotSport
b822418bdff2,385597.0,PA Classics Elite Green Lancaster 15M,,PA,M,U11,GotSport
e07bb0b5942f,385599.0,PA Classics Premier Lancaster 15M,,PA,M,U11,GotSport
ef63bf04bc9e,385709.0,NUU 15 Cannons,,PA,M,U11,GotSport
977228c0f2d8,385711.0,NUU 15 Gunners,,PA,M,U11,GotSport
b861bbe1413b,386137.0,2015B White,,PA,M,U11,GotSport
e1d51009ca41,386139.0,2015B Gold,,PA,M,U11,GotSport
7244f492af24,386379.0,PMSC Comets 2015 Boys,,PA,M,U11,GotSport
2e60eb9c059f,386688.0,FC Chesco 2015 Boys Blue,,PA,M,U11,GotSport
3e85b6ccce17,386859.0,Boys 15s Premier,,PA,M,U11,GotSport
29042fd28d30,387040.0,Santos 2015,,PA,M,U11,GotSport
fb94b81acfaf,387047.0,Hershey SC 2015 M Blue Lightning,,PA,M,U11,GotSport
f1dc15dee018,387716.0,15B Elite,,PA,M,U11,GotSport
6ca124446953,387761.0,BSC 2015 Boys Black,,PA,M,U11,GotSport
8996d24dab67,387764.0,BSC 2015 Boys Blue,,PA,M,U11,GotSport
8cb015927db8,388183.0,WRS Galaxy,,PA,M,U11,GotSport
f7e579f0fe6b,388228.0,Raptors,,PA,M,U11,GotSport
9c52069099f2,388965.0,Lancaster FC 2015 Boys Premier,,PA,M,U11,GotSport
32b7c503bd1b,391082.0,Lancaster FC 2015 Boys Elite Black,,PA,M,U11,GotSport
19a191a16b35,391553.0,Sentinels Black,,PA,M,U11,GotSport
5d9645e7ba1d,393354.0,U11 Boys 2015 White,,PA,M,U11,GotSport
eac115aa37e0,393364.0,U11 Boys 2015 Yellow,,PA,M,U11,GotSport
9842d3a675c0,395576.0,SSC 2015 Boys,,PA,M,U11,GotSport
367c9f7ef2d7,398739.0,FC Chesco 2015 Boys,,PA,M,U11,GotSport
336f0a4adf5a,399102.0,Young Guns,,PA,M,U11,GotSport
e4574283d423,399273.0,Supernova 2015,,PA,M,U11,GotSport
a768c82e353c,400338.0,Aston United SA 2015 Astros,,PA,M,U11,GotSport
596fd76f3f61,400345.0,Aston United SA 2015 Bulls,,PA,M,U11,GotSport
08c4eb4b3494,400977.0,Torresdale Scorpions,,PA,M,U11,GotSport
cf81156976d8,401466.0,Lititz Mayhem,,PA,M,U11,GotSport
065fd8af7a87,402846.0,2015 Boys Red 2,,PA,M,U11,GotSport
edccfeca32a1,404969.0,SSC Heatwave,,PA,M,U11,GotSport
3737457ea9c1,405273.0,Prussians 2015 Boys Yellow,,PA,M,U11,GotSport
fd79a96f4c16,409723.0,Crusader Soccer Academy CYAA Boys 2015,,PA,M,U11,GotSport
d14ed4fe161a,410174.0,CV United 2015/16,,PA,M,U11,GotSport
9000cb704e9f,411459.0,Hawks 2015,,PA,M,U11,GotSport
3c081b93c533,413874.0,NSC U11 Kilgour,,PA,M,U11,GotSport
3045fb3092cd,414799.0,Steel City FC North 2015B Blue,,PA,M,U11,GotSport
8d45fec4ea1c,416307.0,Century United - 2015 Boys Grey,,PA,M,U11,GotSport
28028ac509b6,427014.0,Erie FC 2015 Boys Black,,PA,M,U11,GotSport
2ad82973357a,429574.0,Lancers,,PA,M,U11,GotSport
733396845b66,433618.0,FC Libertas,,PA,M,U11,GotSport
b35347c13f51,441380.0,La Hermandad 2015,,PA,M,U11,GotSport
91e9b2a0f8e9,445568.0,Beadling 2015 Boys South Blue,,PA,M,U11,GotSport
9635a9d5cadf,445569.0,Beadling 2015 Boys South Black,,PA,M,U11,GotSport
e175868dd76c,449850.0,PTS 2015 Boys Neon,,PA,M,U11,GotSport
56c54853def8,451369.0,Steel City FC Harmar 2015B Blue,,PA,M,U11,GotSport
f948542d42ce,452308.0,WBSC Haven Panthers U10 Boys,,PA,M,U11,GotSport
5b0ddf968890,453629.0,Steel City FC East 2015B Yellow,,PA,M,U11,GotSport
62544e839050,463106.0,Yardley Makefield Soccer 2015 Boys Bayern,,PA,M,U11,GotSport
7872b28129d8,463107.0,Yardley Makefield Soccer 2015 Boys Dortmund,,PA,M,U11,GotSport
b774324a3c8b,463109.0,Yardley Makefield Soccer 2015 Boys Leverkusen,,PA,M,U11,GotSport
1d66c136c560,463110.0,Yardley Makefield Soccer 2015 Boys Leipzig,,PA,M,U11,GotSport
c97e09f03874,465144.0,Jaguars,,PA,M,U11,GotSport
5b43c335e1df,467678.0,Abington Soccer Club 2015 Boys Blue,,PA,M,U11,GotSport
0f16ab45623e,474838.0,NSC U10 Lischner,,PA,M,U11,GotSport
f540da9f1316,476665.0,Forza Rossoblú 2015’s,,PA,M,U11,GotSport
241a5dcbb549,480752.0,Prime United,,PA,M,U11,GotSport
4f4c9a81cd75,484629.0,WLUSC 2015 Boys Nolan -Warriors Gold,,PA,M,U11,GotSport
3ff507180656,486882.0,Philadelphia SC Surf 15 White,,PA,M,U11,GotSport
19c5cab74c29,488391.0,Raptors - Gold,,PA,M,U11,GotSport
2d050ace07a6,488764.0,Fever SC 15B Pre-Academy,,PA,M,U11,GotSport
a78c53c5b6ec,491251.0,Blue Quake 15,,PA,M,U11,GotSport
6b272ed88254,491416.0,Pirates,,PA,M,U11,GotSport
