team_name,team_id,age_group,gender,source,points,state,rank,url,provider
2016B Alaska Rush Blue,,U10,Male,GotSport Rankings,0,AK,12,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=65,GotSport
2016B Alaska Rush Blue,321766.0,U10,Male,GotSport Rankings,0,AK,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=66,GotSport
15/16G AK Thorns,199109.0,U11,Female,GotSport Rankings,0,AK,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=235,GotSport
2015G Alaska Rush Blue,440046.0,U11,Female,GotSport Rankings,0,AK,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=44,GotSport
KPSC 15/16G,490374.0,U11,Female,GotSport Rankings,0,AK,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=234,GotSport
2015 Girls Cook Inlet SC Scarlet,,U11,Female,GotSport Rankings,0,AK,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=187,GotSport
2015 Cook Inlet SC Girls,,U11,Female,GotSport Rankings,0,AK,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=67,GotSport
2015G Alaska Rush Blue,,U11,Female,GotSport Rankings,0,AK,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=45,GotSport
2015G Alaska Rush White,,U11,Female,GotSport Rankings,0,AK,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=174,GotSport
2015G CSC Storm Blue,433383.0,U11,Female,GotSport Rankings,0,AK,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=153,GotSport
2015G CSC Storm Blue,,U11,Female,GotSport Rankings,0,AK,8,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=155,GotSport
KPSC 15/16G,,U11,Female,GotSport Rankings,0,AK,8,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=220,GotSport
2015G Alaska Rush White,321768.0,U11,Female,GotSport Rankings,0,AK,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=167,GotSport
2015 Girls Cook Inlet SC Scarlet,374306.0,U11,Female,GotSport Rankings,0,AK,18,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=194,GotSport
15/16G AK Thorns,,U11,Female,GotSport Rankings,0,AK,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=219,GotSport
2015 Cook Inlet SC Girls,322203.0,U11,Female,GotSport Rankings,0,AK,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=65,GotSport
Alaska Eclipse 15B,,U11,Male,GotSport Rankings,0,AK,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=328,GotSport
2015 Cook Inlet SC Boys RED,,U11,Male,GotSport Rankings,0,AK,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=90,GotSport
2015 Cook Inlet SC Boys Premier,566709.0,U11,Male,GotSport Rankings,0,AK,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=277,GotSport
2015 Cook Inlet SC Boys RED,566715.0,U11,Male,GotSport Rankings,0,AK,10,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=88,GotSport
VR 2015 Boys,435907.0,U11,Male,GotSport Rankings,0,AK,11,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=363,GotSport
2015B AK Timbers,,U11,Male,GotSport Rankings,0,AK,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=164,GotSport
KPSC 2015B,,U11,Male,GotSport Rankings,0,AK,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=377,GotSport
2015B AK Timbers,358777.0,U11,Male,GotSport Rankings,0,AK,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=161,GotSport
Alaska Eclipse 15B,425269.0,U11,Male,GotSport Rankings,0,AK,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=327,GotSport
2015B CSC Riptide,435786.0,U11,Male,GotSport Rankings,0,AK,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=362,GotSport
