team_name,age_group,gender,source,points,state,rank,url
ARFC 2016B Jurgenson,U10,Male,GotSport Rankings,0,AR,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=11
2016B Paragould Predators,U10,Male,GotSport Rankings,0,AR,8,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=54
ARFC 2016 B Heckendorf,U10,Male,GotSport Rankings,0,AR,8,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=87
870FC 2016 Boys,U10,Male,GotSport Rankings,0,AR,8,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=97
NEA SC 2016 Boys- Black,U10,Male,GotSport Rankings,0,AR,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=116
SS ACADEMY 2016G BLACK PRE SELECT,U10,Female,GotSport Rankings,0,AR,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=42
ARFC 2016G Loebach,U10,Female,GotSport Rankings,0,AR,11,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=58
ARFC 2016 G Humphries,U10,Female,GotSport Rankings,0,AR,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=61
F.C. Horizon 2015 Boys Green,U11,Male,GotSport Rankings,0,AR,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=45
Arkansas Comets 2015B Pre ECNL,U11,Male,GotSport Rankings,0,AR,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=78
Advantage Academy 2015 Boys Elite,U11,Male,GotSport Rankings,0,AR,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=93
Little Rock Rangers 2015 Boys Red,U11,Male,GotSport Rankings,0,AR,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=94
Sporting Arkansas 2015B AFC Richmond,U11,Male,GotSport Rankings,0,AR,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=182
