team_name,age_group,gender,source,points,state,rank,url,provider
Digger Girls 2016,U10,Female,GotSport Rankings,0,ID,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=14,GotSport
U10 Black 2016 Indie Chicas,U10,Female,GotSport Rankings,0,ID,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=7,GotSport
NBFC 2016 Girls Blue,U10,Female,GotSport Rankings,0,ID,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=50,GotSport
ALBION SC IDAHO G16-17 Academy,U10,Female,GotSport Rankings,0,ID,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=88,GotSport
IFFC 2016G Claret - Resendiz,U10,Female,GotSport Rankings,0,ID,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=39,GotSport
Idaho United 16G Neon,U10,Female,GotSport Rankings,0,ID,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=31,GotSport
BVB IA CDA U9 GIRLS,U10,Female,GotSport Rankings,0,ID,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=67,GotSport
IFFC 2016G Cobalt - Lima,U10,Female,GotSport Rankings,0,ID,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=33,GotSport
PFC 2016-17G,U10,Female,GotSport Rankings,0,ID,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=10,GotSport
PVSC 2016 Girls- Wardlow,U10,Female,GotSport Rankings,0,ID,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=13,GotSport
U10 2016 Indie Chicas,U10,Female,GotSport Rankings,0,ID,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=29,GotSport
2016 Thorns Elite,U10,Female,GotSport Rankings,0,ID,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=11,GotSport
NBFC 2016 Girls Black,U10,Female,GotSport Rankings,0,ID,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=73,GotSport
Sting Soccer Club 16G Pool,U10,Female,GotSport Rankings,0,ID,8,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=27,GotSport
ALBION SC IDAHO G16 Academy,U10,Female,GotSport Rankings,0,ID,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=32,GotSport
JYSA Rigby Girls 2016,U10,Female,GotSport Rankings,0,ID,10,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=42,GotSport
NBFC 2016 Girls White,U10,Female,GotSport Rankings,0,ID,10,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=34,GotSport
Rapids SC 2016G,U10,Female,GotSport Rankings,0,ID,11,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=12,GotSport
16 Girls Inferno Liga,U10,Female,GotSport Rankings,0,ID,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=49,GotSport
SSC 16G Black,U10,Female,GotSport Rankings,0,ID,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=54,GotSport
SSC 16G Yellow,U10,Female,GotSport Rankings,0,ID,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=70,GotSport
2015-17 Teton FC Girls-Ivey,U10,Female,GotSport Rankings,0,ID,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=94,GotSport
CGA Academy 16/17G,U10,Female,GotSport Rankings,0,ID,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=14,GotSport
Idaho Rush 16 Black,U10,Female,GotSport Rankings,0,ID,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=61,GotSport
16 Girls Inferno Copa,U10,Female,GotSport Rankings,0,ID,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=25,GotSport
208 FC 2016 G Pink,U10,Female,GotSport Rankings,0,ID,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=49,GotSport
Idaho Rush 16 Blue,U10,Female,GotSport Rankings,0,ID,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=75,GotSport
GSA U10G Academy Black,U10,Female,GotSport Rankings,0,ID,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=76,GotSport
IFFC 2016G Cobalt - Willcox,U10,Female,GotSport Rankings,0,ID,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=97,GotSport
North Boise FC 2016/17 Girls AB,U10,Female,GotSport Rankings,0,ID,18,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=82,GotSport
2016/17 Teton FC Girls - Stitgen,U10,Female,GotSport Rankings,0,ID,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=19,GotSport
25/26 FC North Idaho 2016 GIRLS,U10,Female,GotSport Rankings,0,ID,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=94,GotSport
PVSC 2016 Girls- Keller,U10,Female,GotSport Rankings,0,ID,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=33,GotSport
16 Girls Inferno Liga,U10,Female,GotSport Rankings,0,ID,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=48,GotSport
PVSC 2016 Girls- Sorrell,U10,Female,GotSport Rankings,0,ID,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=22,GotSport
16 Boys Inferno Copa Red,U10,Male,GotSport Rankings,0,ID,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=8,GotSport
16 Boys Inferno Liga,U10,Male,GotSport Rankings,0,ID,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=73,GotSport
SSC 16B Black,U10,Male,GotSport Rankings,0,ID,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=132,GotSport
Sting Soccer Club 16B Silver,U10,Male,GotSport Rankings,0,ID,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=144,GotSport
ALBION SC IDAHO B16 Academy,U10,Male,GotSport Rankings,0,ID,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=41,GotSport
Idaho Rush 16 Black,U10,Male,GotSport Rankings,0,ID,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=89,GotSport
JYSA Rigby Boys 2016,U10,Male,GotSport Rankings,0,ID,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=95,GotSport
NBFC 2016 Boys Blue,U10,Male,GotSport Rankings,0,ID,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=28,GotSport
Idaho Rush 16 White,U10,Male,GotSport Rankings,0,ID,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=89,GotSport
NBFC 2016 Boys Grey,U10,Male,GotSport Rankings,0,ID,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=69,GotSport
NBFC 2016 Boys Pewter,U10,Male,GotSport Rankings,0,ID,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=87,GotSport
PVSC 17/16 Boys- Arhin,U10,Male,GotSport Rankings,0,ID,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=43,GotSport
16 Boys Inferno Copa Grey,U10,Male,GotSport Rankings,0,ID,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=67,GotSport
GSA U10B Academy Black,U10,Male,GotSport Rankings,0,ID,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=164,GotSport
NPSC U10 B White,U10,Male,GotSport Rankings,0,ID,8,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=6,GotSport
Real Boise CF 2016/17 - RC Celta de Vigo,U10,Male,GotSport Rankings,0,ID,8,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=104,GotSport
NBFC 2016 Boys White,U10,Male,GotSport Rankings,0,ID,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=145,GotSport
Shelley U10 Boys 2025-2026,U10,Male,GotSport Rankings,0,ID,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=68,GotSport
ID Surf 16B Academy,U10,Male,GotSport Rankings,0,ID,10,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=137,GotSport
Idaho Rush 16 Blue,U10,Male,GotSport Rankings,0,ID,10,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=133,GotSport
2016 Timbers Elite,U10,Male,GotSport Rankings,0,ID,11,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=10,GotSport
Digger Boys 2016,U10,Male,GotSport Rankings,0,ID,11,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=47,GotSport
PFC 2016 B,U10,Male,GotSport Rankings,0,ID,11,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=66,GotSport
PVSC 17/16 Boys- Merkley,U10,Male,GotSport Rankings,0,ID,11,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=33,GotSport
Sandpoint Strikers FC 2016B Black,U10,Male,GotSport Rankings,0,ID,11,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=57,GotSport
Rapids SC 2016B,U10,Male,GotSport Rankings,0,ID,12,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=13,GotSport
2016 Timbers Elite 2,U10,Male,GotSport Rankings,0,ID,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=165,GotSport
2016/17 Teton FC Boys - Kitchin,U10,Male,GotSport Rankings,0,ID,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=42,GotSport
CGA Academy 16/17B,U10,Male,GotSport Rankings,0,ID,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=136,GotSport
GSA U10B Academy Green,U10,Male,GotSport Rankings,0,ID,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=38,GotSport
IFFC 2016Boys Claret,U10,Male,GotSport Rankings,0,ID,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=125,GotSport
2016 Boys,U10,Male,GotSport Rankings,0,ID,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=25,GotSport
UVSF United '16 Harris,U10,Male,GotSport Rankings,0,ID,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=23,GotSport
16 Boys Inferno United,U10,Male,GotSport Rankings,0,ID,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=22,GotSport
Sun Valley Soccer Club - Boys 2016s - White,U10,Male,GotSport Rankings,0,ID,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=125,GotSport
IFFC 2016B Claret - Richens,U10,Male,GotSport Rankings,0,ID,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=18,GotSport
Idaho Juniors 16B Neon,U10,Male,GotSport Rankings,0,ID,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=55,GotSport
NBFC 2016 Boys Black,U10,Male,GotSport Rankings,0,ID,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=23,GotSport
Sun Valley SC Boys 2016s - Orange,U10,Male,GotSport Rankings,0,ID,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=77,GotSport
IFFC 2016B Cobalt - Farr,U10,Male,GotSport Rankings,0,ID,18,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=79,GotSport
