team_name,team_id,age_group,gender,source,points,state,rank,url
NPSC U10 B White,405494,U10,Male,GotSport Rankings,0,ID,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=6
16 Boys Inferno Copa Red,630825,U10,Male,GotSport Rankings,0,ID,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=8
2016 Timbers Elite,514517,U10,Male,GotSport Rankings,0,ID,11,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=10
Rapids SC 2016B,520786,U10,Male,GotSport Rankings,0,ID,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=13
IFFC 2016B Claret - Richens,454080,U10,Male,GotSport Rankings,0,ID,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=18
16 Boys Inferno United,505984,U10,Male,GotSport Rankings,0,ID,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=22
UVSF United '16 Harris,585878,U10,Male,GotSport Rankings,0,ID,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=23
NBFC 2016 Boys Black,620204,U10,Male,GotSport Rankings,0,ID,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=23
2016 Boys,538570,U10,Male,GotSport Rankings,0,ID,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=25
NBFC 2016 Boys Blue,619476,U10,Male,GotSport Rankings,0,ID,10,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=28
PVSC 17/16 Boys- Merkley,584369,U10,Male,GotSport Rankings,0,ID,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=33
GSA U10B Academy Green,649670,U10,Male,GotSport Rankings,0,ID,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=39
ALBION SC IDAHO B16 Academy,506762,U10,Male,GotSport Rankings,0,ID,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=41
2016/17 Teton FC Boys - Kitchin,659923,U10,Male,GotSport Rankings,0,ID,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=43
PVSC 17/16 Boys- Arhin,580973,U10,Male,GotSport Rankings,0,ID,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=43
Digger Boys 2016,537143,U10,Male,GotSport Rankings,0,ID,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=48
Idaho Juniors 16B Neon,517678,U10,Male,GotSport Rankings,0,ID,12,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=56
Sandpoint Strikers FC 2016B Black,508999,U10,Male,GotSport Rankings,0,ID,10,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=58
