team_name,age_group,gender,source,points,state,rank,url,provider
DERBY UNITED 16G STARS,U10,Female,GotSport Rankings,0,KS,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=22,GotSport
SPORTING BV Real Madrid 16,U10,Female,GotSport Rankings,0,KS,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=13,GotSport
FC WICHITA 16G NAVY,U10,Female,GotSport Rankings,0,KS,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=71,GotSport
Hays Soccer Club 2016 Girls,U10,Female,GotSport Rankings,0,KS,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=41,GotSport
SPORTING WICHITA 2016G PREMIER,U10,Female,GotSport Rankings,0,KS,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=58,GotSport
Azzurri 16G Academy,U10,Female,GotSport Rankings,0,KS,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=30,GotSport
Sporting BV Atletico 16,U10,Female,GotSport Rankings,0,KS,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=98,GotSport
STARS UNITED 16G,U10,Female,GotSport Rankings,0,KS,10,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=47,GotSport
16 MCFC Girls,U10,Female,GotSport Rankings,0,KS,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=21,GotSport
GC SPORTING FC 16/17G,U10,Female,GotSport Rankings,0,KS,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=35,GotSport
Legends MoKan 2016,U10,Female,GotSport Rankings,0,KS,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=50,GotSport
AZTECA ACADEMY 16G,U10,Female,GotSport Rankings,0,KS,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=47,GotSport
FC WICHITA 16G RED,U10,Female,GotSport Rankings,0,KS,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=86,GotSport
KCL Academy Red 2016,U10,Female,GotSport Rankings,0,KS,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=3,GotSport
SPORTING WICHITA 2016G ACADEMY,U10,Female,GotSport Rankings,0,KS,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=6,GotSport
FC WICHITA 16G WHITE,U10,Female,GotSport Rankings,0,KS,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=15,GotSport
WUFC 16G BLAST PRE-ACADEMY,U10,Female,GotSport Rankings,0,KS,18,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=33,GotSport
WUFC 16G BLAST PREMIER,U10,Female,GotSport Rankings,0,KS,18,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=23,GotSport
VC Fusion 2016G MCKINNEY,U10,Female,GotSport Rankings,0,KS,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=38,GotSport
Wichita Warriors 16G,U10,Female,GotSport Rankings,0,KS,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=35,GotSport
HAFC Elite 15G,U10,Female,GotSport Rankings,0,KS,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=95,GotSport
SPORTING WICHITA 2016G PRE-ACADEMY,U10,Female,GotSport Rankings,0,KS,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=30,GotSport
DERBY UNITED 16B COBRAS,U10,Male,GotSport Rankings,0,KS,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=36,GotSport
