team_name,team_id,age_group,gender,source,points,state,rank,url,provider
Desoto FC 16G,548509.0,U10,Female,GotSport Rankings,0,MS,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=71,GotSport
2024_2025 MISSISSIPPI RUSH 2016 GIRLS JACKSON,,U10,Female,GotSport Rankings,0,MS,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=95,GotSport
Alliance FC 2016 Girls,,U10,Female,GotSport Rankings,0,MS,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=26,GotSport
RSC 2016 GIRLS BRANDON BLACK,526246.0,U10,Female,GotSport Rankings,0,MS,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=92,GotSport
2024_2025 MISSISSIPPI RUSH 2016 GIRLS MADISON PREMIER,,U10,Female,GotSport Rankings,0,MS,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=38,GotSport
Oxford FC 2016 Girls Navy,384687.0,U10,Female,GotSport Rankings,0,MS,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=62,GotSport
2024_2025 MISSISSIPPI RUSH 2016 GIRLS JACKSON,504039.0,U10,Female,GotSport Rankings,0,MS,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=92,GotSport
Oxford FC 2016 Girls Red,556680.0,U10,Female,GotSport Rankings,0,MS,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=95,GotSport
Alliance FC 2016 Girls,553227.0,U10,Female,GotSport Rankings,0,MS,10,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=26,GotSport
RSC 2016 GIRLS BRANDON BLACK,,U10,Female,GotSport Rankings,0,MS,11,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=88,GotSport
