team_name,team_id,age_group,gender,source,points,state,rank,url,provider
Magic Soccer FC 2016 Girls,,U10,Female,GotSport Rankings,0,ND,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=40,GotSport
2016 Girls U10,581908.0,U10,Female,GotSport Rankings,0,ND,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=47,GotSport
Magic Soccer FC 2016 Girls,548891.0,U10,Female,GotSport Rankings,0,ND,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=40,GotSport
Bricks U8/9 Spark,608998.0,U10,Female,GotSport Rankings,0,ND,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=85,GotSport
GGFSC 2017/2016G Blue,,U10,Female,GotSport Rankings,0,ND,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=89,GotSport
Dickinson SC U9/10 Girls White,236173.0,U10,Female,GotSport Rankings,0,ND,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=14,GotSport
Dickinson SC U9/10 Girls Orange,435884.0,U10,Female,GotSport Rankings,0,ND,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=60,GotSport
Dickinson SC U9/10 Girls White,,U10,Female,GotSport Rankings,0,ND,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=14,GotSport
Dickinson SC U9/10G Black,664910.0,U10,Female,GotSport Rankings,0,ND,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=34,GotSport
2016 Girls U10,,U10,Female,GotSport Rankings,0,ND,11,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=46,GotSport
Dickinson SC U9/10 Girls Orange,,U10,Female,GotSport Rankings,0,ND,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=58,GotSport
GGFSC 2017/2016G Blue,611020.0,U10,Female,GotSport Rankings,0,ND,18,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=91,GotSport
Bricks U8/9 Spark,,U10,Female,GotSport Rankings,0,ND,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=94,GotSport
Dickinson SC U9/10G Black,,U10,Female,GotSport Rankings,0,ND,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=33,GotSport
2015 Boys U10 Bronze,598617.0,U10,Male,GotSport Rankings,0,ND,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=138,GotSport
Dickinson SC U9/10B Orange,664908.0,U10,Male,GotSport Rankings,0,ND,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=16,GotSport
GGFSC 2017/2016B,610979.0,U10,Male,GotSport Rankings,0,ND,8,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=136,GotSport
Dickinson SC U9/10B White,664907.0,U10,Male,GotSport Rankings,0,ND,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=93,GotSport
Magic Soccer FC 2016 Boys Green U8/9,,U10,Male,GotSport Rankings,0,ND,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=112,GotSport
2015 Boys U10 Bronze,,U10,Male,GotSport Rankings,0,ND,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=136,GotSport
Dickinson SC U9/10B White,,U10,Male,GotSport Rankings,0,ND,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=86,GotSport
Magic Soccer FC 2016 Boys Green U8/9,579317.0,U10,Male,GotSport Rankings,0,ND,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=117,GotSport
GGFSC 2017/2016B,,U10,Male,GotSport Rankings,0,ND,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=137,GotSport
MSC 09/10G,,U11,Female,GotSport Rankings,0,ND,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=236,GotSport
Bricks U10 Girls Bombers,611269.0,U11,Female,GotSport Rankings,0,ND,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=219,GotSport
Bricks U10 Girls Bombers,,U11,Female,GotSport Rankings,0,ND,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=236,GotSport
MC Legends U10 Girls Red,445477.0,U11,Female,GotSport Rankings,0,ND,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=136,GotSport
TCU 2015 Girls Black,,U11,Female,GotSport Rankings,0,ND,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=188,GotSport
Bricks U10 Girls Bandits,611266.0,U11,Female,GotSport Rankings,0,ND,8,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=175,GotSport
Magic Soccer FC 2015 Girls,548892.0,U11,Female,GotSport Rankings,0,ND,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=116,GotSport
Magic Soccer FC 2015 Girls,,U11,Female,GotSport Rankings,0,ND,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=117,GotSport
MSC 09/10G,611321.0,U11,Female,GotSport Rankings,0,ND,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=218,GotSport
TCU 2015 Girls Black,426830.0,U11,Female,GotSport Rankings,0,ND,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=192,GotSport
WUFC U10 Girls,382660.0,U11,Female,GotSport Rankings,0,ND,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=f&search[page]=172,GotSport
Magic Soccer FC 15B Black - Team ID: 09B1189,,U11,Male,GotSport Rankings,0,ND,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=116,GotSport
TCU 2015 Boys Black,,U11,Male,GotSport Rankings,0,ND,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=187,GotSport
GGFSC 2015B,,U11,Male,GotSport Rankings,0,ND,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=240,GotSport
2015 Boys U10,,U11,Male,GotSport Rankings,0,ND,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=333,GotSport
MSC U9/10 Boys,,U11,Male,GotSport Rankings,0,ND,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=399,GotSport
Magic Soccer FC 15B Green - Team ID: 09B2508,501164.0,U11,Male,GotSport Rankings,0,ND,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=73,GotSport
WUFC U10 Boys Orange,,U11,Male,GotSport Rankings,0,ND,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=146,GotSport
Mc Legends U10 Boys 2015 Red,,U11,Male,GotSport Rankings,0,ND,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=333,GotSport
Magic Soccer FC 15B Green - Team ID: 09B2508,,U11,Male,GotSport Rankings,0,ND,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=75,GotSport
Dickinson SC U9/10 Boys White,305248.0,U11,Male,GotSport Rankings,0,ND,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=66,GotSport
Dickinson SC U9/10 Boys White,,U11,Male,GotSport Rankings,0,ND,8,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=68,GotSport
GGFSC 2015B,651194.0,U11,Male,GotSport Rankings,0,ND,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=237,GotSport
TCU 2015 Boys Black,426833.0,U11,Male,GotSport Rankings,0,ND,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=184,GotSport
2015 Boys U10,601864.0,U11,Male,GotSport Rankings,0,ND,10,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=326,GotSport
MSC U9/10 Boys,570972.0,U11,Male,GotSport Rankings,0,ND,10,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=405,GotSport
TCU 2015 Boys Black,,U11,Male,GotSport Rankings,0,ND,12,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=186,GotSport
WUFC U10 Boys Black,611994.0,U11,Male,GotSport Rankings,0,ND,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=349,GotSport
Magic Soccer FC 15B Black - Team ID: 09B1189,501162.0,U11,Male,GotSport Rankings,0,ND,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=113,GotSport
Dickinson SC U9/10 Boys Orange,305247.0,U11,Male,GotSport Rankings,0,ND,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=229,GotSport
Mc Legends U10 Boys 2015 Red,445610.0,U11,Male,GotSport Rankings,0,ND,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=338,GotSport
Dickinson SC U9/10 Boys Orange,,U11,Male,GotSport Rankings,0,ND,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=231,GotSport
WUFC U10 Boys Black,,U11,Male,GotSport Rankings,0,ND,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=349,GotSport
TCU 2015 Boys Black,426833.0,U11,Male,GotSport Rankings,0,ND,18,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=183,GotSport
WUFC U10 Boys Orange,371841.0,U11,Male,GotSport Rankings,0,ND,18,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=142,GotSport
WUFC U10 Boys Orange,,U11,Male,GotSport Rankings,0,ND,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=145,GotSport
TCU 2014 Girls Black,,U12,Female,GotSport Rankings,0,ND,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=12&search[gender]=f&search[page]=155,GotSport
Magic Soccer FC 2014 Girls,548893.0,U12,Female,GotSport Rankings,0,ND,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=12&search[gender]=f&search[page]=146,GotSport
