team_name,team_id,age_group,gender,source,points,state,rank,url,provider
2016 Girls Premier,402833.0,U10,Female,GotSport Rankings,0,PA,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=63,GotSport
Hanover SC 16G Red Phantoms,,U10,Female,GotSport Rankings,0,PA,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=74,GotSport
LMSC 2016G Navy,,U10,Female,GotSport Rankings,0,PA,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=42,GotSport
NEU 2016 Predators,,U10,Female,GotSport Rankings,0,PA,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=57,GotSport
Philadelphia SC Surf 17 Rhythm Black,492330.0,U10,Female,GotSport Rankings,0,PA,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=85,GotSport
Valkyries,372396.0,U10,Female,GotSport Rankings,0,PA,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=54,GotSport
White Conshy '16 (G),,U10,Female,GotSport Rankings,0,PA,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=67,GotSport
16G Black - Summer Select,,U10,Female,GotSport Rankings,0,PA,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=59,GotSport
2016 Girls Blue Dynamite,612189.0,U10,Female,GotSport Rankings,0,PA,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=51,GotSport
CASA 2016F Premier,,U10,Female,GotSport Rankings,0,PA,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=93,GotSport
Cocalico Girls United,410836.0,U10,Female,GotSport Rankings,0,PA,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=84,GotSport
Eagle FC 16G Black,,U10,Female,GotSport Rankings,0,PA,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=62,GotSport
FC Dallastown Lady Wildcats 16 Blue,463252.0,U10,Female,GotSport Rankings,0,PA,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=7,GotSport
Fox Chase Diamonds 2016,,U10,Female,GotSport Rankings,0,PA,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=86,GotSport
Hulmeville Holy Flames,,U10,Female,GotSport Rankings,0,PA,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=45,GotSport
NEU 2016 Reapers,365100.0,U10,Female,GotSport Rankings,0,PA,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=3,GotSport
Pre-Academy 16G,,U10,Female,GotSport Rankings,0,PA,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=53,GotSport
Spirit Black '16,371897.0,U10,Female,GotSport Rankings,0,PA,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=59,GotSport
