team_name,team_id,age_group,gender,source,points,state,rank,url,provider
90+ G2016 Sherwood,513256.0,U10,Female,GotSport Rankings,0,WA,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=25,GotSport
Eastside FC G16 Blue,622695.0,U10,Female,GotSport Rankings,0,WA,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=30,GotSport
Pacific FC 16G Galaxy,,U10,Female,GotSport Rankings,0,WA,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=16,GotSport
Sound FC G16A,389636.0,U10,Female,GotSport Rankings,0,WA,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=38,GotSport
XL Onyx G16,,U10,Female,GotSport Rankings,0,WA,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=69,GotSport
CPSC 16G East 1,645679.0,U10,Female,GotSport Rankings,0,WA,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=62,GotSport
Crossfire Select G16 A,,U10,Female,GotSport Rankings,0,WA,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=38,GotSport
NW United G16 Black,,U10,Female,GotSport Rankings,0,WA,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=23,GotSport
Spokane Legacy SA - G2016/17 Slatter (Pink),,U10,Female,GotSport Rankings,0,WA,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=73,GotSport
WFC Rangers G15 Blue,,U10,Female,GotSport Rankings,0,WA,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=99,GotSport
Columbia Premier SC 16G East 1,508630.0,U10,Female,GotSport Rankings,0,WA,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=86,GotSport
HPFC Eagles G2016 Blue,,U10,Female,GotSport Rankings,0,WA,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=36,GotSport
Spokane Legacy SA - G2016/17 Slatter (Purple),,U10,Female,GotSport Rankings,0,WA,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=73,GotSport
WFC Rangers G16G,,U10,Female,GotSport Rankings,0,WA,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=93,GotSport
CYSA Timber Barons Bates G,625055.0,U10,Female,GotSport Rankings,0,WA,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=30,GotSport
Columbia Premier SC 16G East 1,,U10,Female,GotSport Rankings,0,WA,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=85,GotSport
Spokane Legacy SA - G2016/17 Slatter (Pink),648290.0,U10,Female,GotSport Rankings,0,WA,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=69,GotSport
Washington Rush G17 Rush,493289.0,U10,Female,GotSport Rankings,0,WA,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=52,GotSport
Pink Lightning,653323.0,U10,Female,GotSport Rankings,0,WA,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=37,GotSport
Spokane Legacy SA - G2016/17 Slatter (Purple),648291.0,U10,Female,GotSport Rankings,0,WA,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=69,GotSport
Washington Rush G16 Rush,,U10,Female,GotSport Rankings,0,WA,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=68,GotSport
XL Onyx G16,618879.0,U10,Female,GotSport Rankings,0,WA,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=74,GotSport
FC Salmon Creek,389316.0,U10,Female,GotSport Rankings,0,WA,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=83,GotSport
Shadow Academy G2016 Opsahl,648321.0,U10,Female,GotSport Rankings,0,WA,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=36,GotSport
Steel United WA G16 Elite,368030.0,U10,Female,GotSport Rankings,0,WA,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=94,GotSport
CPSC 16G East 1,,U10,Female,GotSport Rankings,0,WA,8,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=62,GotSport
FC Salmon Creek BLUE,,U10,Female,GotSport Rankings,0,WA,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=42,GotSport
NW United G16 Black,365525.0,U10,Female,GotSport Rankings,0,WA,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=23,GotSport
Sound FC - G16B,627801.0,U10,Female,GotSport Rankings,0,WA,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=88,GotSport
